NAME,RESORT_ID,IS_DATELESS
"Shawnee Mountain (PA) 1 Day Lift Tickets",1,0
"DO NOT USE/REASSIGN - SET UP IN CAD",2,0
"Park City 1 Day Lift Tickets - old liftopia only",3,0
"Kirkwood Lift Tickets",4,0
"Diamond Peak Ski Resortxxxx",5,0
"Windham 1 Day Learn to Ski or Snowboard Package",6,0
"Mt. Abram 1 Day Lift Tickets",7,0
"Q Burke Mountain 1-Day Lift Tickets",8,0
"Kicking Horse 1 Day Lift Tickets",9,0
"Sugar Bowl 1 Day Lift Tickets",10,0
"Windham 1 Day Lift Tickets",11,0
"Crested Butte 1 Day Pass",12,0
"Shawnee Peak (ME) 1 Day Lift Tickets",13,0
"Peek'n Peak Resort and Conference Center",14,0
"Arapahoe Basin 1 Day Lift Tickets",15,0
"Snowbird 1 Day Lift Tickets",16,0
"Sundance Resort 1 Day Lift Tickets",17,0
"Angel Fire 1 Day Lift Tickets",18,0
"Sierra Summit Intro Package",19,0
"Mt. Baldy 1 Day Lift Tickets",20,0
"Snow King 1 Day Lift Tickets",21,0
"Mt. Baldy Learn to Ski Package",22,0
"Red River Ski and Snowboard Area 1 Day Lift Tickets",23,0
"Windham Mountain Non-Skier Activity Pack",24,0
"Brian Head 1 Day Lift Tickets",25,0
"Mt. Baldy Learn to Snowboard Package",26,0
"Brighton 1 Day Lift Tickets",27,0
"Snowbird 2 Day Lift Tickets",28,0
"Pats Peak 1 Day Lift Tickets",29,0
"Alta 1 Day Lift Tickets",30,0
"Bear Valley 1 Day Lift Tickets",31,0
"Bear Valley Learn to Snowboard Package",32,0
"Mountain High 1 Day Lift Tickets",33,0
"Loveland 1 Day Lift Tickets",34,0
"TEST Monarch Mountain 1 Day Lift Tickets",35,0
"Belleayre Mountain - DEAD PRODUCT",36,0
"Snowshoe Mountain 1 Day Lift Tickets",37,0
"Ski Banff-Lake Louise-Sunshine 1 Day Lift Ticket + Snowboard Rental",38,0
"Stowe 1 Day Lift Tickets",39,0
"Red Mountain Resort 1 Day Lift Tickets",40,0
"Timberline Lodge 1 Day Lift Tickets",41,0
"Mount Snow 1 Day Lift Tickets",42,0
"Ascutney Lift Tickets - DEAD",43,0
"Gunstock Night Skiing/Riding",44,0
"Canyons Resort 2 of 7 Day Lift Tickets",45,0
"Stowe 3 of 4 Day Lift Tickets",46,0
"Jackson Hole",47,0
"Stowe 1 Day Lift Ticket + Rental",48,0
"Stowe 2 Day Lift Tickets",49,0
"Canyons Resort 3 of 7 Day Lift Tickets",50,0
"Bridger Bowl 4 of 7 Day Lift Tickets",51,0
"Stowe Summer Toll Road Pass",52,0
"Park City 3 Day Lift Tickets - old liftopia only",53,0
"Plattekill Mountain 1 Day Lift Tickets",54,0
"Loon Mountain 1 Day Lift Tickets",55,0
"Brian Head 1 Day Lift Ticket + Rental",56,0
"Taos Ski Valley 3 of 4 Day Lift Tickets",57,0
"Big Red Cat Trips - Intermediate Level",58,0
"Big Red Cat Trips - Advanced Level",59,0
"Big Red Cat Trips - Expert Level",60,0
"Whiteface 1 Day Lift Tickets",61,0
"Brundage Mountain Resort",62,0
"Telluride Lift Tickets",63,0
"Alyeska Resort (AK) 1 Day Lift Tickets",64,0
"Apex Mountain Resort (B.C.)",65,0
"Moonlight Basin 1 Day Lift Tickets",66,0
"Mount Seymour Resort (British Columbia)",67,0
"Mt. Rose 1 Day Lift Tickets",68,0
"Moonlight Basin 2 Day Lift Tickets",70,0
"Moonlight Basin 1 Day Beginner Package",71,0
"Moonlight Basin 2 Day Beginner Package",72,0
"Sunlight Mountain Resort Horseback Tours",73,0
"Ragged Mountain 1 Day Lift Tickets",75,0
"Mountain Creek 1 Day Lift Tickets",76,0
"Brian Head Private Plus Program",77,0
"Mammoth Mountain 3-Day Pass",78,0
"Hunter Mountain 1 Day Lift Tickets",79,0
"Smugglers' Notch 1 Day Lift Tickets",80,0
"Mad River Glen 1-Day Lift Tickets",81,0
"Gunstock 1 Day Lift Tickets",82,0
"Powder Mountain 1 Day Lift Tickets",83,0
"Arapahoe Zuma Blast Tour + Lift Ticket",84,0
"Squaw Valley",85,0
"Homewood 1 Day Lift Tickets",86,0
"Swain Ski and Snowboard Resort",87,0
"Whitefish Mountain Resort 1 Day Lift Tickets",88,0
"Crotched Mountain 1 Day Lift Tickets",89,0
"Bolton Valley 1 Day Lift Tickets",90,0
"Whiteface 1 Day Beginner Package",91,0
"Wildcat 1 Day Lift Tickets",92,0
"Tamarack Resort 2-for-1 Lift Tickets",93,0
"Saddleback 1 Day Lift Tickets",94,0
"Marmot Basin 1-Day Lift Tickets",95,0
"Sun Peaks (B.C.) Lift Tickets",96,0
"Canyons Resort 1 Day Lift Tickets - OLD",97,0
"Ski Cooper 1 Day Lift Tickets",98,0
"Jay Peak 1 Day Lift Tickets",99,0
"Diamond Peak - Sierra Scout All Day Package",100,0
"Diamond Peak 1 Day Lift Tickets",101,0
"Diamond Peak - Last Tracks Package",102,0
"Mad River Mountain Exploration Package",103,0
"Canaan Valley 1 Day Lift Tickets",104,0
"Winterplace Ski Resort",105,0
"Mountain High Night Skiing",106,0
"Homewood 1 Day Learn To Ski  Package",107,0
"Homewood Teen Lift Tickets (ages 13-18)",108,0
"Angel Fire Deluxe First Timers Ski Package",109,0
"Angel Fire Teen Lift Tickets (ages 13-17)",110,0
"Angel Fire Resort Night Skiing Ticket",111,0
"Angel Fire Lift Ticket + Tubing",112,0
"Wildcat 1 Day Learn to Ski Package",113,0
"Gunstock Rail Jam Entry Package",114,0
"Red River 1 Day Beginner Package",115,0
"TEST Northstar 1 Day Lift Tickets",116,0
"Mt Seymour (British Columbia)",117,0
"Windham Mountain Sunset Skiing Tickets",118,0
"Windham 1 Day Lift Ticket + Rental",119,0
"Waterville Valley 1 Day Lift Tickets",120,0
"Silver Mountain 1 Day Lift Ticket",121,0
"Mountain Creek Twilight Tickets",122,0
"Mad River Mogul Master Package",123,0
"Mad River-Zen and the Art of Tree Skiing",124,0
"Mad River Glen Free Heel Fridays",125,0
"Black Mountain (NH) 1 Day Lift Tickets",126,0
"Cranmore Mountain 1 Day Lift Tickets",127,0
"Waterville Valley Teen Lift Tickets (13-18)",128,0
"Waterville Valley 1 Day Learn to Ski",129,0
"Waterville Valley 1 Day Learn to Ride",130,0
"Arapahoe Basin Women's Tele Clinic",131,0
"Arapahoe Basin Tele Steep Camp",132,0
"Arapahoe Basin Extreme Mountain Clinic",133,0
"Bolton Night Ticket to Benefit Chill",134,0
"Sipapu 1 Day Lift Tickets",135,0
"Bretton Woods Mountain Resort",136,0
"Sugarbush Resort Lift Tickets",137,0
"Chamonix Mont-Blanc",138,0
"Le Massif 1 Day Lift Tickets",139,0
"Mammoth Mountain 1 Day Lift Tickets",140,0
"Engelberg/Titlis, Switzerland",141,0
"Caberfae Peaks 1 Day Lift Tickets",142,0
"Cannon Mountain 1 Day Lift Tickets",143,0
"Winter Park 1 Day Lift Tickets",144,0
"Gore Mountain 1 Day Lift Tickets",145,0
"Winter Park 1 Day Lift Ticket + Rental",146,0
"Big Sky Resort 1 Day Lift Tickets - TEST",147,0
"Bretton Woods 1 Day Lift Tickets",148,0
"Big White 1 Day Lift Tickets",149,0
"Shanty Creek 1 Day Lift Tickets",150,0
"Spirit Mountain 1 Day Lift Tickets",151,0
"Panorama Mountain Resort 1 Day Lift Tickets",152,0
"Boreal Mountain 1 Day Lift Tickets",153,0
"Boreal Mountain Night Skiing and Riding",154,0
"Jiminy Peak 1 Day Lift Tickets",155,0
"Boreal Mountain Tubing",156,0
"Greek Peak 1 Day Learn to Ski/Ride",157,0
"Wisp Resort",158,0
"Mont Sainte Anne Lift Tickets",159,0
"Stoneham Mountain 1 Day Lift Tickets",160,0
"Mont-Sainte-Anne: Dual mountain pass",161,0
"Nashoba Valley 1 Day Lift Tickets",162,0
"Keystone 1 Day Lift Ticket + Rental Package",163,0
"Pico Mountain 1 Day Lift Tickets",164,0
"Timberline Four Seasons 1 Day Lift Tickets",165,0
"zCrystal Mountain 1-Day Ticket (Michigan)- Liftopia Only",166,0
"Snowbird Early Bird Special",167,0
"Sierra-At-Tahoe 1 Day Lift Tickets",168,0
"Jay Peak 1 Day Learn to Ski Package",169,0
"Greek Peak Private Lesson Deal",170,0
"Durango Mountain 2 Day Lift Tickets",171,0
"Shawnee Mountain (PA) First Time Learn to Ski or Snowboard Package",172,0
"Mammoth Mountain 4 of 6 Day Lift Tickets",173,0
"Kirkwood Lift Ticket + Rental Package",174,0
"Alpine Meadows 1 Day Lift Tickets",175,0
"Alpine Meadows 1 Day Beginner Package",176,0
"Boreal Mountain Buy-One-Get-One Deal",177,0
"Jiminy Peak Twilight Tickets",178,0
"Thunder Ridge Ski Area 1 Day Lift Tickets",179,0
"Keystone 1 Day Ticket + $15 Lunch Voucher",180,0
"Park City 1 Day Lift Ticket Screamin Deal",181,0
"Silver Star 1 Day Lift Tickets",182,0
"Arapahoe Basin 2 of 7 Day Lift Tickets",183,0
"Sunlight Mountain 1 Day Lift Tickets",184,0
"Waterville Valley Snow Day Ticket",185,0
"Eldora Lift Tickets",186,0
"Shanty Creek Full Day and Night Lift Tickets",187,0
"Canyons Resort 1 Day Lift Tickets",188,0
"Canyons Resort 2 Day Lift Tickets",189,0
"Durango Mountain 1 Day Lift Tickets",190,0
"Ski Banff-Lake Louise-Sunshine 1 Day Lift Ticket + Rental",191,0
"Black Mountain (NH) 1 Day College Fest Pass",192,0
"Sunday River 1 Day Lift Tickets",193,0
"Sugarloaf 1-Day Lift Tickets",194,0
"Sipapu Screamin Deal",195,0
"Tremblant 1-Day Lift Tickets",196,0
"zCrystal Mountain 2-Day Ticket (Michigan)- Liftopia Only",197,0
"Sunday River 2 Day Lift Tickets",198,0
"Sugarloaf 2-Day Pass",199,0
"Greek Peak 1 Day Lift Tickets",200,0
"Sipapu 2 for 1 Super Bowl Special",201,0
"Park City Alpine Slide/Alpine Coaster Combo",202,0
"Grand Targhee 1 Day Lift Tickets",203,0
"Jay Peak 2 Day Lift Tickets",204,0
"Copper Mountain 1 Day Lift Ticket + Rental",205,0
"San Juan Ski Company Snowcat Skiing",206,0
"Arizona Snowbowl Lift Tickets",207,0
"Magic Mountain 1 Day Lift Tickets",208,0
"Lookout Pass 1 Day Lift Tickets",209,0
"Loveland 1 Day Lift Ticket + $12 Lunch Voucher",210,0
"Copper Mountain 1 Day Lift Tickets",211,0
"Q Burke Mountain 2-Day Lift Tickets",212,0
"Loveland Screamin Deal",213,0
"Revelstoke Mountain Resort 1 Day Lift Tickets",214,0
"Winter Park Full Day Junior Downhill Bike Park Package",215,0
"Winter Park Full Day Downhill Bike Park Package with Lift",216,0
"Park City All Day Summer Park Pass",217,0
"Winter Park Full Day Cross Country Bike Package",218,0
"Winter Park Resort Full Day Adventure Pass",219,0
"Durango Total Adventure Ticket",220,0
"Park City Alpine Slide",221,0
"Boyne Mountain All Day Lift Ticket (9AM to 4:30PM)",222,0
"Loon Adventure Package",223,0
"Snowbird All Day Summer Activities Pass",224,0
"Wildcat Mountain Lunch + Ride Package",225,0
"Wildcat Mountain Summer Fun Day Package",226,0
"Sunday River 1 Day Lift Ticket + Rental",227,0
"Seven Oaks Recreation 1 Day Lift Tickets",228,0
"Bear Mountain 1 Day Lift Tickets",229,0
"Whiteface 2 of 3 Day Lift Tickets",230,0
"Killington 1 Day Lift Tickets",231,0
"Whistler Blackcomb 1 Day Lift Ticket and Sport Rental",232,0
"Camelback 1 Day Lift Tickets",233,0
"Black Mountain of Maine Lift Tickets",234,0
"Whistler Blackcomb Lift Ticket + Rental Package",235,0
"Devils Head 8 Hour Flex Lift Tickets",236,0
"Wild Mountain 1 Day Lift Tickets",237,0
"Wild Mountain Night Skiing Tickets",238,0
"Wild Chutes Snow Tubing",239,0
"Whitewater 1 Day Lift Tickets",240,0
"Diamond Peak Season Pass Special",241,0
"zCrystal Mountain Night Ticket (Michigan)- Liftopia Only",251,0
"Waterville Valley 1 Day Lift Ticket + Ski Rental",252,0
"Canaan Valley 1 Day Lift Ticket + Ski Rental",253,0
"Canaan Valley Resort Night Skiing/Riding",254,0
"Plattekill Mountain Early Season Special",255,0
"zCrystal Mountain 1-Day Ticket & Rental Package (Michigan)- Liftopia Only",256,0
"Loon Mountain 2-Day Pass",257,0
"Loon Mountain Beginner Package",258,0
"Loon Mountain Lift Ticket + Rental Package",259,0
"Granby Ranch Night Skiing Tickets",260,0
"Keystone Night Lift Tickets",261,0
"June Mountain 1 Day Lift Tickets",262,0
"Snow Summit / Bear Mountain Day Session Tickets",263,0
"Ski Ward Night Lift Tickets",264,0
"King Pine Lift Tickets",265,0
"Snow Snake Lift Tickets",266,0
"Sun Valley 1 Day Lift Tickets",267,0
"Cranmore Mountain 2-for-1 Single Day Lift Tickets",268,0
"Jay Peak 3 Day Lift Tickets",269,0
"Stevens Pass 1 Day Lift Tickets",270,0
"Bear Mountain 1 Day Basic Beginner Package",271,0
"Bear Mountain 1 Day Beyond Beginner Package",272,0
"Snow Summit 1 Day Basic Beginner Package",273,0
"Snow Summit 1 Day Beyond Beginner Package",274,0
